cameraIndexCode,name,latitude,longitude
f97b3641a48f4242aac30c9c89dfc273,C092 JALAN RAJA CHULAN,3.149238,101.701671
c57b552689974ed19ac7e87296f38446,C093 JALAN RAJA CHULAN,3.150153,101.704806
9ccddefbdd5349d2b1e100e80cd94564,C094 JALAN RAJA CHULAN ,3.150021,101.710868
f5a6597c66284514964cf75e152aef99,C095 JALAN RAJA CHULAN,3.150444,101.712201
e317820b0708439e8523a6d544cef163,C096 JALAN PUDU,3.143764,101.706857
10b5a4f0432b4cafaf655bd32b7e40b4,C097 JALAN BUKIT BINTANG,3.145184,101.70914
5aff870ff2b8425daaac537d355ff411,C098 JALAN CHANGKAT BKT BINTAN,3.146608,101.709632
9c8c4e6723eb493db734b5dcf8f168bc,C099 JALAN BUKIT BINTANG,3.145903,101.710296
2e857119f00d4093a4e3e956b57862d7,C100 JALAN RAJA CHULAN,3.148311,101.716058
31d1e6ef1e774e918fceba5dd6bd83f9,C101 JALAN IMBI,3.1469,101.715746
91461eb00c1944f1a47e13d2687d8a38,C102 JALAN BUKIT BINTANG,3.147058,101.719293
8373e76534a042eb926a4a8597e67c5a,C103 JALAN PERAK,3.152607,101.711509
d19618c861bd45a3bd9fc48d1c11d45e,C104 JALAN PINANG,3.15319,101.711984
c24631db03994767937ebf731eef2941,C105 JALAN KIA PENG,3.152794,101.713697
67549d733214410b8bdf3593605ec62a,C106 JALAN KIA PENG,3.1528,101.715184
15085309340f4ffd9662fae7268a5bf0,C107 JALAN STONOR,3.150025,101.717006
b31ffd61613a4828ab9c5b29a697f5d1,C108 JALAN KIA PENG,3.152081,101.717852
c9d55711d5124ee48cc04ec3fa7b92fd,C109 JALAN STONOR,3.154406,101.718081
a84e15b653a440f7ae0aeb7dfda7c89a,C110 JALAN TUN RAZAK,3.156624,101.721268
dd5a780d141b4f72b87150bf210d8ed4,C111 PERSIARAN KLCC,3.158333,101.716042
e2cd8e5db0864977b71ba3fd986fd7cb,C112 JALAN SULTAN ISMAIL,3.161162,101.695118
6651ce804e0445e782dd5dc36481300b,C113 JALAN SULTAN ISMAIL,3.161065,101.695115
cd98c711f7d34b519d0b54558cac5224,C114 JALAN SULTAN ISMAIL,3.159259,101.699742
322b95fe46f2448c95571ac9efd05372,C115 JALAN SULTAN ISMAIL,3.158944,101.70196
97151e629c154660897d9538870f538f,C116 JALAN SULTAN ISMAIL,3.15865,101.701565
29a202d6a38f494f8e8a62fb457a2554,C117 JALAN RAJA LAUT,3.161059,101.695575
30dd306e4c8a44db82cdab4bccc09d0e,C118 JALAN TMN SERI SENTOSA,3.077072,101.655239
9647d1ed8b564324b28c98895fa55ed3,C119 JALAN CHERAS,3.079004,101.74562
6c281b08e5ca473e8f2c22f0b6ad40b9,C120 JALAN CHERAS,3.083274,101.741857
b6ec0aba81044f9590ad186dc0583e06,C121 JALAN CHERAS,3.085515,101.741823
9e694e9bd4734b9ab7153187878ab9a1,C122 JALAN CHERAS,3.085659,101.741791
4c14da134a2a43e996d29139600fc2fe,C123 JALAN CHERAS,3.097259,101.738328
ffcf293ada174113afb84b39e4e1cfc7,C124 JALAN CHERAS,3.098747,101.737628
9c6964d4071d4936be87b7c44658bdeb,C125 JALAN CHERAS,3.099706,101.737164
c764ba60a72b4071896f5633fa22d461,C126 JALAN CHERAS,3.105543,101.731817
5af8e909a83a4f29a3558feb3751b1ce,C127 JALAN SULTAN ISMAIL,3.148022,101.710888
439843a6885b4d50aca035b9262cbb63,C128 JALAN BUKIT BINTANG,3.148065,101.712848
52d11fb620a64fb4b22de49da3151618,C129 JALAN IMBI,3.143704,101.712442
5b18354056ee4ec0a7cac2645ae83e78,C130 JALAN KAMPUNG PANDAN,3.139571,101.718042
dbdcfce2602841b9880a3a062f3d6fc3,C131 LEBUHRAYA BUKIT JALIL,3.049144,101.680309
b637b6183420477bb07c48eccbc369d6,C132 JALAN KG PANDAN,3.137505,101.725844
a15092e3ae714015aadd291952232b86,C133 JALAN KG PANDAN,3.144826,101.734742
c9eb8c9b0b2e42e79fd8afd83b7b34d8,C134 JALAN PERKASA,3.133861,101.731502
7bd6f993254e4dbbb8c465b8504eff91,C135 JALAN PERKASA,3.134206,101.734733
1619ce9e9ae448bf9e4722e7eaf0ed40,C136 JALAN KAMPUNG PANDAN,3.138734,101.721045
63c90410dda14c2a85d49d0e07c43ce5,C137 JALAN GADING,3.14654,101.714013
